Name,Price,Rating,Hotel Link,Description
Eurostars Universal Lisboa,855,8.7,https://www.booking.com/hotel/pt/eurostars-universal-lisboa.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXX97wGwAIB0gIkMTlmYTUyZDEtMDg0Zi00N2M2LWEzMzAtZGZjNmJjZjA0MjZj2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=5dde43eef25c03b4&srepoch=1738402859&all_sr_blocks=767669301_334343650_2_34_0&highlighted_blocks=767669301_334343650_2_34_0&matching_block_id=767669301_334343650_2_34_0&sr_pri_blocks=767669301_334343650_2_34_0__85500&from_sustainable_property_sr=1&from=searchresults,"Set in Lisbon, 600 metres from Lisbon Oceanarium, Eurostars Universal Lisboa offers accommodation with a seasonal outdoor swimming pool, private parking, a fitness centre and a garden. With a restaurant, the 5-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The accommodation features room service, a business centre and luggage storage for guests.

At the hotel, rooms come with a desk. Every room includes a flat-screen TV, and certain units at Eurostars Universal Lisboa have a city view.

A buffet breakfast is available every morning at the accommodation.

Speaking English, Spanish, French and Portuguese at the 24-hour front desk, staff are ready to help around the clock.

Gare do Oriente is 700 metres from Eurostars Universal Lisboa, while Miradouro da Senhora do Monte is 7.9 km from the property. Humberto Delgado Airport is 3 km away, and the property offers a paid airport shuttle service."
Locke de Santa Joana,922,8.8,https://www.booking.com/hotel/pt/locke-de-santa-joana.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXX97wGwAIB0gIkMTlmYTUyZDEtMDg0Zi00N2M2LWEzMzAtZGZjNmJjZjA0MjZj2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=5dde43eef25c03b4&srepoch=1738402859&all_sr_blocks=1165155502_389182204_0_2_0&highlighted_blocks=1165155502_389182204_0_2_0&matching_block_id=1165155502_389182204_0_2_0&sr_pri_blocks=1165155502_389182204_0_2_0__92200&nad_id=6610f376-71b0-42e3-8191-e76cc7cbaf57_0&nad_cpc=0.86&nad_track=eyJhdWN0aW9uRXBvY2giOjE3Mzg0MDI3ODExNTUsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiWS83dWp0QUZDWFEra2V0Z0owYXNSWVZGSnh1NkNjaVdqd1pWNTlGdFJObjFpQTdhV3V3NFQrbVJVS3Q4NjQzN2ljdWQ3ZVZKd0ZaUDB2TGJrRnZOMjNRci9zK1FDRWNyMjhRd0RVMXdMU3pKck9qY1YyRGNvelErSXFSeUF5VnM4cVc2TE5lOVYvSGJSV3dFUTI3YXhkMDBwUHd0bStKWnI1c1RVRmg0Zm1WNmFiZXVMNDc5ZnRWZXAwQk0vSWE3QkF6S0pTL3AxRkpZLzlUQ2dFSWVCemZxVlNsVUxYT053NjU4Wlg0Y1hNaXBienRRelBHTmYvWEZKQm5YMGJQRkR6eWdiL1VFVnV1Q0hteEtkZHFaclo4cFhTQUFHK29GbDBNc01xREZoT080L3VPUHkvZFo4OHhGWlF5MVRqTmU5SkhGL1k4eGRuVjZNSGJTRmEwSUNrOGI1clE0NmJIRENkRE8rWi8yK3VsdEZZUDBhZmpZTUV4RUhRamxXRlFqTTJZczFQS1d5cGlCTDhNTFdRcXpXNXRza2gveTd4RitPTnoxV2c3b1Z1ZXQvZzM5anB5S2dzdjZsd25xN0J5WkcxeDZFdVNRZDlyUURsekVLQWJIMTFQaFZvR0lwSStjT1I0cEhLSTRDZFpJL29nS2Q3clpleWF1L2JkdmNwMkdmMDkxcjcyalhHRVNtZm01NStackxmMDNCd3NYNWhxYUJibEdBd2NCdFVDL0pRd2JKdlJPVlZIaUxTT2ZpS2k3Mi9VYW1COXNpVVlMVDJJcUJKUG9EdUFOejFSclVUNlEzTk5hN25Fd2gyRFdWK0VudFJrWElHVGNJRzJ3TU9EekcwT3F5K3B6bDZrVjZEWDRoWm15SmRNNVpCZW9pMHc1RkhXcmJtRGtuVnRaWnV1YVRDUUxJUFFDckhEYWhMdHBHV2Rzc3Q2dXo2TWRQN1p3LzFqU0NWK2ZQdHJrR0E2cC80Z05MT0JVU0t5NzF1MEg4aS9YNWlwVUVkVllmSTg4dDR6QkN2dVRIK085a1U2MTdPVkp4TTR2U0h1UEdjejNLemxmSHIwb0VsQXQvbkJEd0owRHNtVFoyc0ViZ3NTOHdRM0M3WmZIZ3g2c0k4RWYyRzIrNXMvU3FmdGpFbTBKc0RiSTZPMnJ1bXp6L3dmcjM5QjNaVjl5Skl0blI2VnVRVS9sY0dTNWwzQUViVlo2OFE0VytvODZMWU1PN3k0MEtra0NCdTh5OHNzM3hGSXJTUmh3QXJwNGhWZ3BpUDNreUsxYzlndzZSbjU3Z09NdXo5Q2RNVVpVSDdzTXVrQlJ4REswWWFETllxMUcxa1Qrc3pHekFWWWFVVXAwVXEvaW5GUVY0TGRBc1ZxbVJXSVlHMFI4TFdSa2VxblhkaWR1N0pIc3VFWnM5WG5uVWNhMzNVcFhValkzdXJsNTJkY3dYNWd2ZnJuOGlkWTVLSFpCWkMxcFJXckRTV1hwRHVtZXU2YTBFbHc5L0xMeFJDeGk1VHZaeXpsc242cGY1V2NCV3pLK0RLUThmVmF6ditIRHc2UE12cjJUeS9HSFRsVFdreUhmN2JsUDhYWjBidUx3ZERQK210cWowLzdkaUprdE5sNFJ5SDROWDQxZ21YY0EweG5OTW05TXIzL0NwSE1GN0w0aDIzUWRGMEpoS1hJYndDbGRWLzdNajhwcUt5UmhYbTBpNHg0MWhiejZmbjVzSnhUR1pMSWwvaDh5eUkxUGhRUlo1Z1B0MTR0V3pKVnRZajJadzQzaVozZVJrUlJjdFMrL2FhVDhyWnYrWVZFZUFSR2FPM3REZTdSMkx4Mlh5bTZlWVZXY0RxNWhQbzdGVVdRZnkvaTZFVTFYQ0JDZ3hCRVRBaU1VRk0ycEVFQnFnTitoL0VGZEo4aHZOV3lMejc2Yk5zMDNXMUpGQkNCMmpNV1Nabk12aTRnTFgxTmJObUp4QWtEeTNPVmVkckJ4UzRIMnAxNnBlZXZaVFpZdkZCaHFXZVI0UE9aT1NvRzlBK00yUVcra0xEOWxRejhnL05DZ0xBZ3NzZXlGWVlYSGRNLy9HMmdKVjVYRUk3K0VVMjI0QVVWQkxjdzJ3Qm5NRjV0NTVuQ201THA0ekdmR1dvci83a3dOT2dPaERRdmpPbHcvRmdWSlBYdXZrTkErbzJ2cmsrRzBlWjFncFZLbjRtcGJLaDB2dnBtYnhocC9yVXB1NnVXaUg2U2I2NHZzN2RLRGprWko3eTFuRlptSEhvWDZyZk8zaXBnWktrUm0xZVpMalJJUmRCdU1sVFJwc0Vsd0dwbFFTOGc2bDZ5NW9WKzgxL2E5aFdxMFRnWmF5d1JFZm9VU2VtWEdJaVFadWV1QjBleGU2eWhFZGxaWkFCUVAxRzRCRFl3cmdwL1hGTWF3WmtxUGsvZk4wUVBpb2thL3BORFRYR1VIY0Q0VEhtRlVsekZOUi8yWFJ6SDVacXhQNWJPaFNFQ0hHdkpCaG9UenMxMy9pNk5YRStZWGxQaHFrSWZuTzNidmJwbHpKMVd5R2xsYXN2cGV1WVRRWXprRnZmOWx3dzhpTTAwZ3dPengxY01mRHVJYk0zSmx4enN1SkJpTW5FTGlvYURNT0dIVCtBcGw0NGkvdU40Y2kvN1FMcnNSMk95ZzdJTzRlQVJZM3FuUlYyR053SGxJNnV4UzU5aGRjbHJaWWw4b1B3WmpLNFQvOW5Jd3RoazJqbFRRRDZVWHR6by93M09RRm1pdGR1a2tBRHY3M1Z6bU9yTkNYcGpBRlZBL1FXak9ucWpXbjBWLzdLRTRlS0dERlluMFJ3R1pGZDNqbDRrYjUzRkdPT0VtRkF1YTRFdkdZZ2Jza3A5d1pRNU5MNW1rT0lFVU9JQ0Z0eTNsaGtlRnJ6YUc5NFEzdWF1UEhvbEYvYnkzZGQyODB2T1BzblJGeTBDNUdCY1RyNFFYQlpOYjYvemtpQWkrc2ZYTkRmeE5mT3I5T0psdzZUZXRmcXVyeGxVQjdDVzRJOUM4TS9BTWluNjVCUDMvMHhPM0J4T21MRG5CUEkzTnY2L0grRElhQ1k1bWdDMEZ2cklMZmNpMTFEK0s3VUpyQ2JNTGYvdkoyMTh4QklKZHFuRlQ0Y1pPdHhLcmZHVDlPK0dTRTh6cEdscVVGTmJ0d2dKdlcwT1U2dmk1S2lOdlp3ZFF0VFRnWWtmOXVwQ0FhVU0xbDhZTVlycE1nckpkZ0RGL01NVnlLMHZkYW1mYTNtUkszN2VwSXlYeW1LS3lCN3dTTTZ5SFhtRVVPK2ttN3pyM1Z6YWU4OHFYbGEvTVR2d2hIUUU5Q1owUGV4M0FqZmV4WFVEbElVQ2VLQnNheVE0L0gySEZ6aEVSMXMyMGw3MUVjUjdCcTJFQVIzRFBvYXlMdFdtKzdVYlAzVTAxSlVVbnZuQytHckxtU2VQYzVZY2ozeFFVN0hrPSJ9&from=searchresults,"Locke de Santa Joana features accommodation located 300 metres from the centre of Lisbon and offers a seasonal outdoor swimming pool and a fitness centre. This 4-star aparthotel offers a 24-hour front desk and a lift. The aparthotel provides rooms with air conditioning, available on site private parking and an electric vehicle charging station.

At the aparthotel, units are equipped with a wardrobe. Every unit includes a kettle, a flat-screen TV, a safety deposit box and free WiFi, while selected rooms are equipped with a terrace. The units include a private bathroom, a hair dryer and bed linen.

The aparthotel offers a buffet or continental breakfast. The restaurant at Locke de Santa Joana serves Mediterranean cuisine, and is open for dinner and lunch.

Guests can also relax in the garden.

Dona Maria II National Theatre is 1.5 km from the accommodation, while Rossio is 1.6 km away. Humberto Delgado Airport is 8 km from the property."
Universo Romantico,251,7.3,https://www.booking.com/hotel/pt/universo-romantico.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXX97wGwAIB0gIkMTlmYTUyZDEtMDg0Zi00N2M2LWEzMzAtZGZjNmJjZjA0MjZj2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=5dde43eef25c03b4&srepoch=1738402859&all_sr_blocks=245903732_129806836_0_1_0&highlighted_blocks=245903732_129806836_0_1_0&matching_block_id=245903732_129806836_0_1_0&sr_pri_blocks=245903732_129806836_0_1_0__25070&from=searchresults,"Universo Romantico features accommodation situated 200 metres from the centre of Lisbon and offers a bar and a shared lounge. Among the facilities of this property are a restaurant, a 24-hour front desk and a lift, along with free WiFi throughout the property. The guest house has family rooms.

Some accommodation includes a terrace and a satellite flat-screen TV, as well as air conditioning and heating. At the guest house, some units are allergy-free and soundproof.

Buffet and continental breakfast options with fresh pastries, fruits and cheese are available each morning. There is a coffee shop, and a minimarket is also available. Dining options are available close to the guest house.

Popular points of interest near Universo Romantico include Rossio, Dona Maria II National Theatre and Miradouro da Senhora do Monte. Humberto Delgado Airport is 7 km from the property, and the property offers a paid airport shuttle service."
Bica FLH Suites,928,9.1,https://www.booking.com/hotel/pt/feels-like-home-bica-prime-suites.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXX97wGwAIB0gIkMTlmYTUyZDEtMDg0Zi00N2M2LWEzMzAtZGZjNmJjZjA0MjZj2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=5dde43eef25c03b4&srepoch=1738402859&all_sr_blocks=216863307_97210515_0_1_0&highlighted_blocks=216863307_97210515_0_1_0&matching_block_id=216863307_97210515_0_1_0&sr_pri_blocks=216863307_97210515_0_1_0__92800&from=searchresults,"Bica FLH Suites is located in the historical centre of Lisbon, within the famed Bica neighbourhood. The building which was an art gallery since the fifties, was refurbished in the beginning of 2017.

The comfortable rooms feature a rainfall shower, free toiletries, hair dryer, air conditioning, desk and a flat-screen TV. Free WiFi is available and the cosy terrace outside is ideal for warm evenings. Some of the rooms offer a view overlooking the garden.

A continental breakfast is served every morning, also there is a wide range of restaurants and bars in the surroundings. This Bed and Breakfast is located halfway between Chiado and Bairro Alto.

The Baixa-Chiado metro station is within 300 metres. Cais do Sodré station is at a 10-minute walk and connects with Belém and Cascais. The Rossio train station is an 8-minute walk and connects with scenic Sintra. The nearest airport is Lisbon's Humberto Delgado Airport, 7 km from Bica FLH Suites."
Ibis Styles Lisboa Centro Liberdade NE,592,8.5,https://www.booking.com/hotel/pt/embaixador.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXX97wGwAIB0gIkMTlmYTUyZDEtMDg0Zi00N2M2LWEzMzAtZGZjNmJjZjA0MjZj2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=5dde43eef25c03b4&srepoch=1738402859&all_sr_blocks=3938220_94256923_2_2_0&highlighted_blocks=3938220_94256923_2_2_0&matching_block_id=3938220_94256923_2_2_0&sr_pri_blocks=3938220_94256923_2_2_0__59228&from_sustainable_property_sr=1&from=searchresults,"Located 400 metres from Marques de Pombal Square and Metro Station, Ibis Styles Lisboa Centro Liberdade NE has stylish, modern rooms.

Featuring free WiFi, the air-conditioned rooms are brightly decorated, with designer furniture. Each has a flat-screen cable TV, a minibar and desk. With lots of natural light, the bathrooms provide free toiletries, large showers and a hairdryer.

The 24-hour reception staff can provide luggage storage and assist with car hire. Avenida da Liberdade, Lisbon’s trendy main street and home to many exclusive shops, is 400 m away.

Eduardo VII Park is 7 minutes’ walk away and Saldanha Metro Station, offering direct access to Lisbon International Airport is within a 15-minute walk. Underground parking is available on site."
Lisbon 5 Hotel,492,7.7,https://www.booking.com/hotel/pt/lisbon-5-lisboa.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXX97wGwAIB0gIkMTlmYTUyZDEtMDg0Zi00N2M2LWEzMzAtZGZjNmJjZjA0MjZj2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=5dde43eef25c03b4&srepoch=1738402859&all_sr_blocks=731077801_326122325_0_0_0&highlighted_blocks=731077801_326122325_0_0_0&matching_block_id=731077801_326122325_0_0_0&sr_pri_blocks=731077801_326122325_0_0_0__49200&from=searchresults,"Conveniently set in the centre of Lisbon, Lisbon 5 Hotel provides air-conditioned rooms, a shared lounge and free WiFi. The property is around 1.4 km from St. George's Castle, 7.7 km from Luz Football Stadium and 7.8 km from Lisbon Oceanarium. The property is non-smoking and is located 600 metres from Miradouro da Senhora do Monte.

All units in the hotel are equipped with a flat-screen TV with satellite channels. Featuring a private bathroom with a shower and a hairdryer, certain rooms at Lisbon 5 Hotel also offer a city view.

Popular points of interest near the accommodation include Rossio, Dona Maria II National Theatre and Commerce Square. Humberto Delgado Airport is 6 km away, and the property offers a paid airport shuttle service."
Varandas de Lisboa - Tejo River Apartments & Rooms,1312,9.0,https://www.booking.com/hotel/pt/varandas-de-lisboa-varanda-do-rossio.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXX97wGwAIB0gIkMTlmYTUyZDEtMDg0Zi00N2M2LWEzMzAtZGZjNmJjZjA0MjZj2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=5dde43eef25c03b4&srepoch=1738402859&all_sr_blocks=483517906_157672521_4_0_0&highlighted_blocks=483517906_157672521_4_0_0&matching_block_id=483517906_157672521_4_0_0&sr_pri_blocks=483517906_157672521_4_0_0__131240&from=searchresults,"Varandas de Lisboa - Tejo River Apartments & Rooms has air-conditioned guest accommodation in Lisbon, less than 1 km from St. George's Castle, a 12-minute walk from Rossio and 1.2 km from Dona Maria II National Theatre. The property features garden and city views, and is 1.7 km from Miradouro da Senhora do Monte. The property is 2 km from the city centre and 500 metres from Commerce Square.

At the apartment complex, units have a wardrobe. Units are equipped with a flat-screen TV, a safety deposit box and free WiFi, while certain rooms also offer a balcony and some have river views. At the apartment complex, every unit includes bed linen and towels.

Guests can also relax in the shared lounge area.

Jeronimos Monastery is 7.3 km from the apartment, while Lisbon Oceanarium is 7.8 km away. Humberto Delgado Airport is 7 km from the property, and the property offers a paid airport shuttle service."
WHome Alfama Spacious 2-Bed near Feira da Ladra,690,6.3,https://www.booking.com/hotel/pt/whome-alfama-spacious-2-bed-near-feira-da-ladra.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXX97wGwAIB0gIkMTlmYTUyZDEtMDg0Zi00N2M2LWEzMzAtZGZjNmJjZjA0MjZj2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=5dde43eef25c03b4&srepoch=1738402859&all_sr_blocks=940450101_366313990_4_0_0&highlighted_blocks=940450101_366313990_4_0_0&matching_block_id=940450101_366313990_4_0_0&sr_pri_blocks=940450101_366313990_4_0_0__68960&from=searchresults,"WHome Alfama Spacious 2-Bed near Feira da Ladra has a balcony and is set in Lisbon, within just 2 km of Commerce Square and 1.9 km of Rossio. The property is located 2 km from Dona Maria II National Theatre, 1.4 km from St. George's Castle and 6.3 km from Lisbon Oceanarium. Free WiFi is available throughout the property and Miradouro da Senhora do Monte is 1.2 km away.

The spacious apartment has 2 separate bedrooms, 2 bathrooms, a fully equipped kitchenette with a dining area and oven, and a living room with a flat-screen TV. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

Gare do Oriente is 7.2 km from the apartment, while Luz Football Stadium is 8.4 km from the property. The nearest airport is Humberto Delgado, 7 km from WHome Alfama Spacious 2-Bed near Feira da Ladra, and the property offers a paid airport shuttle service."
Apartment Yellow Bica,784,8.7,https://www.booking.com/hotel/pt/lxway-apartments-yellow-bica.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXX97wGwAIB0gIkMTlmYTUyZDEtMDg0Zi00N2M2LWEzMzAtZGZjNmJjZjA0MjZj2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=5dde43eef25c03b4&srepoch=1738402859&all_sr_blocks=200429201_272360202_2_0_0&highlighted_blocks=200429201_272360202_2_0_0&matching_block_id=200429201_272360202_2_0_0&sr_pri_blocks=200429201_272360202_2_0_0__78350&from=searchresults,"Offering free WiFi and city views, Apartment Yellow Bica is an accommodation located in the centre of Lisbon, just 1.2 km from Commerce Square and less than 1 km from Rossio. It is set 1 km from Dona Maria II National Theatre and provides a tour desk. The property is non-smoking and is situated 1.6 km from St. George's Castle.

The apartment is equipped with 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV with cable channels, a dining area, a fully equipped kitchen, and a balcony with river views. Additional in-room amenities include wine or champagne.

Miradouro da Senhora do Monte is 3.1 km from the apartment, while Jeronimos Monastery is 6.4 km away. The nearest airport is Humberto Delgado Airport, 10 km from Apartment Yellow Bica."
Hotel Botanico,582,8.6,https://www.booking.com/hotel/pt/botanico.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXX97wGwAIB0gIkMTlmYTUyZDEtMDg0Zi00N2M2LWEzMzAtZGZjNmJjZjA0MjZj2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=5dde43eef25c03b4&srepoch=1738402859&all_sr_blocks=3851114_95162690_2_2_0&highlighted_blocks=3851114_95162690_2_2_0&matching_block_id=3851114_95162690_2_2_0&sr_pri_blocks=3851114_95162690_2_2_0__58200&from=searchresults,"Hotel Botânico is situated in between Avenida da Liberdade and the university’s Botanical Gardens, just a 5-minute walk from the Avenida Metro Station.

Botânico‘s guest rooms have air conditioning, minibars and flat-screen TVs. Each room is equipped with a private bathroom with bath or shower.

Guests can enjoy a wholesome breakfast in the breakfast room in the morning. It includes different types of bread, cereals, yoghurt and fruits.

After a busy day of sightseeing, guests can have some Portuguese wine in the lounge or read international newspapers to catch up on the news. It is also possible to make free use of Wi-Fi here.

Hotel Botânico is located just 8 km from Lisbon Airport."
