Name,Price,Rating,Hotel Link,Description
The Central House Barcelona Gracia,1158,8.6,https://www.booking.com/hotel/es/rodama3n-barcelona-centre.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AoLV97wGwAIB0gIkOGQ2YTM3ODEtOWQyNi00ZjUyLWE4YjktMTk2ODQ1ZTlkODhk2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d349434421b60405&srepoch=1738402530&all_sr_blocks=57658017_88797809_0_2_0_578119&highlighted_blocks=57658017_88797809_0_2_0_578119&matching_block_id=57658017_88797809_0_2_0_578119&sr_pri_blocks=57658017_88797809_0_2_0_578119_115800&from=searchresults,"TCH Barcelona Grácia is within 100 metres of Diagonal Metro Station and Passeig de Gràcia, next to Palau Robert Gardens.

Set in a 19th-century building, TCH Barcelona Grácia offers simple, modern décor and includes a communal lounge area and kitchen. Rooms and dorms have free Wi-Fi, bunk beds, heating and either a private or shared bathroom.

There is also a pretty terrace with sofas, plants and a pergola.

La Pedrera and the Egyptian Museum are within 5 minutes’ walk of the Rodamón. Cafés, bars and restaurants can be found in the Gràcia district, less than 10 minutes’ walk away.

Plaza de Catalunya and Las Ramblas are just 2 stops from Diagonal Metro Station."
Sonder Paseo de Gracia,1315,8.2,https://www.booking.com/hotel/es/sonder-paseo-de-gracia.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AoLV97wGwAIB0gIkOGQ2YTM3ODEtOWQyNi00ZjUyLWE4YjktMTk2ODQ1ZTlkODhk2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d349434421b60405&srepoch=1738402530&all_sr_blocks=846723906_351724295_2_2_0&highlighted_blocks=846723906_351724295_2_2_0&matching_block_id=846723906_351724295_2_2_0&sr_pri_blocks=846723906_351724295_2_2_0__131454&nad_id=4bed4804-991a-416b-8426-a8c5eccac4e3_7&nad_cpc=1.25&nad_track=eyJhdWN0aW9uRXBvY2giOjE3Mzg0MDI0NDIyMTUsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiQ1k2OUNGUVRHT1dFLytBVms5V3dCSlhHRTVvVWloWEVkRWlYTDFtS21UN2ZoMFFtTFZ4UlppdmtnaDdMYlQwVmZZcjFSV21sMWwzNnM2T1o5ZFpTc3lybmhQTEszRGl5MUxkSXNOT0ZncEFqcjZnMTN0R0l5aDBkTGFncWExbU43VFExRWI0Z040YTk5c2dSOWNpMnhTQzM0b3BZNThLSDc2Sk92ZWYxNWxnWFU4SVlYR1JNWFlubzBnYyswV2xIejNTcU5MQzVlQUpnYVIxU3FFZXRtQ2k5MGxNamtveHlBWXBLK1M4THp6SC82WHVaU3J0TU1RcWxCeXEzUFpubStUVkJpUWhMVFRLdTM4WndnSHJ0azNiYlA1NVM5bHRiT2VOZjc0alFiakFKYkp2cGtBMjZaK1d5NXVlOGVsazVzWE1qTHd2WGVxemJ1NUpiWTE4REhhMU9yc2hrM2xSbzZYZVZZQTloQjNXT1dCckpVME1SS2MwWVNEZm5xRGNzOFBuMDZzQ2ZtWlNpMUpVLzNhVUhYOWcvSlE2VkUrVHR0YVl0Q3lsbUhPeVllaFdNSjk2eXBielllRDIwUXRoYUF2MXhVMGREOXVlTlNvQkpya3k5VmNKRktqeWpLWXhteVM0V1IrOXNpMHAzSk92anVjY1NqSkZQbTV2VjhuY2kycGg1NW4zd0t1c0ovOE5YUHllNmdqODZTRkp0akNNUkdUSTdrUVI0NmVJOTBjUHFQRjNnTHVLNDBja2pBdGdvNEZCcjczZjlhcXpiellLaTlIV2xkUkh1b3RJRElMVFVYNTlUeXZNa0IvaUFYMUFGdUc4R2JUdEZWUUpzUUQzUDBPZFA0WmJ6ZWF3OE5IcTEzQ2xmcDN6czYrVFdKM2RVQmw1QW9KNXJ2bWdBbkM3S3F2N0tyOW5uaFRJKzdGaitBdUVXT3Y4eTg3Zi94akdkV0hmT0t3SXAzWWdMcXlLY0ZsSTZheG9kNDMzNVpCS09tWkxvdVJtbmttODBqM0FzNkkxN2dIZGJnYmhsbFE5UzNCUVJ4WW81NjNkQUJkcENrRlViRzl4dW9JRGRIVlcwWGtkNk5Nckt4dGZpSW9aZkhwK2RaTDB4S091dzNCVGMxVFJHb2xSR25YUHUxVWhRNlJLR0xObTZpZTRPVW00MURScTR1WWVRMFVUVytWenJrT2EyQk9CeW8vZUlUaTRwK3oyZXpUaU9oYTR6OFlYNUJwT0RKUHJoWGFrM3NpRlkyeGNDanE2MzJQTWUvbEMvZFh1UU92VS9XcmlncnYycDRuK2JGQWNQMUFqd0NLME5uaWFSeXNzUDk5S3VOZTRya1d3cU12dzBZdjExMmhHWmQ2OERVS3Y1UllxMUlUL3U2eWpwSGl1WjlSZWNSbTZkTHZsd2dQUndiQjI2OHRpL0hlOSsvclAzK21qUURpNXpyb1RlblFMUHVXQ1VKbnowcVFVV1FzTlRNU2RMaGtSYWhHcmRLQnJ3Y1JRWXlJRmRuaUVNZlBiRFQvMFZiaE03ajdqUWl0RjlDUjdoMFBNRVpMNkVsT0d0UGs0dEhDeWxwY1dVcXgxVXJyRWFwOU41aDROY2xSc1NWSEY0UUdadzRhNGVTUldpNHd1dW1VM1RwR1NVb2ltUHl4WjFyZHNLdy9OMmZFdXZCcVkyYjFLRVNaL3R1VVI0SGdGdXhtbDduem5iZm94NFNHYk8wZnU4Y0FleWdYbUtMYW1RYjlmSUtMK1g3cVRlUFYvekdJK1FOU0ljanNINldhbHpUd0MvRWRHYUI2c3J0STZ2blFlaWpEaVQwZEJaTS81azdjd1JwRWxGTDBFa1UzcmcvMHJwbzRBVTA1Wlo4bGpFRjEvWjlITTVQWGk1V0U2Z214elpXcGNsKzJqRitvRUk4RldZaUJBSGJ5cUxVVGJQY1VjMi9yQlVxRmhQNitYT0p2M0RTbWh6K3VSSlJXZEZjQysyU3NHMHN1UWR3MUlhaVVubEkzR2VFRjVEOHlPTHJaNGV3em4vU054eUVqYTNXeFlGdDlvM3lZTGJKTFNkS2RhSVMwN2hRZDc1OUZvVHRSQS9yVHB2dVVaaXdmU3FWZWJ3emE5b2k0dE05a1liQy9aKzd1SDlmdFJUUFJGMWI1SXExTFluVVY0cGdCUTJETUpuWk1yVHF1V0FHRlRzNFhhdm1zS0k3eU5xK1Q5ZkFOSk1GMzJBKzg4MzZrUnc1MUlnYUxjc0RuWnVDdi92YStpNTNFUWNyczN3TE9yblB2SlA4WmhtQkJDNWFNcklJdzlEN2NWTFdpOWxaUnhXUWs2aWl3UWQ4c1RPREFvZEpYQkEvYVplTHpWQ2dKRmhZSFhIM012QkRiM095dUFCYjM2VWlSbGh2UXp0NVM2dEQ0VVlEa2J3Vld6ZGlnSDE5YmVpelBqTG9lTnR3bm02TUZWNW1tTFZzZjdOc0NQa1hRYUZyOE9jS0x1Z0xoem9yWnZUOEcrclhJTlpJQVlTVTVsZEVlalhsZ2lwOXFMU05ERUhSeEh3bjc3M25XUEw5TjVlL1FpcHpZU05EN1dWTG5QcWpRdkFJTm9KRWp6ei93MW85UlFwTGlMQnNzWElTSkFBYkdxb2JTWUd1UWF3Mk50cHMxclVTK041R25QZ1JEdmxyQ3RPRjM2VVE5TU8zQ0ZHcUtpemxHTzhLbEhPdjNiOGtQOGM0cjBQZmRGZjNHc1dPNCtlRU1FeDlEeWE0dFdaREhaZXFEVHBGZ1p4ZVJ4RFlCNmVPMWt6YnVOTXhIc0lkaUdhOThxanovQWdaUStPeFZ0cU0xcExmc3FONnJiQUN5NDRDSkY4WURNbk9pczR5ejFzMzRGRHhkd0dNeDRpVGhjVnJLeVV3dGo2ckNMbncxNXhMVjE1VlhqRU5LMWsvMWJ6TmpzOUZqd3psVHZ4dVNLNm1YK2dpUGtlbmtaT2EyZ3UvV0QwTEtpSGFYdnVFMU0wcFhHaU0vb2VMZkRPMzdrZVYxeWcrMnhvTGVPL2kxdW5EVjMxUTV2S1VXU2lSM080cUdPTmN0dFJKaEFtOWlmVVRNT3FFaFhQOG5VZHJVQmd1dFNCWWlYaElBRmJnZFI3RTlCSzZ6c0wvWkR3anVSV3MxYnFySmRjWSt1L1hud29wWDhyUE0yVUFDQ3hKaSthY3hSYkNML3hnWjcveHR5MlgxRkJBQVlJS28vVm1yL1RsMitma3R5RVpEWVBPOXgyMy8wOGVwdFFiV29jamtDWEdWUWhzcVMrZUdrbVNmK05oL2w5d245M0xleDgzekdjRG5kbkZ6eXc4VXNUV1NTd1QvcmRzWW1IcEZydnd3SjB1ZEFXUVBHams5ZGxmREk5WVRVPSJ9&from=searchresults,"Well situated in Barcelona, Sonder Paseo de Gracia offers a buffet breakfast and free WiFi. This 5-star hotel offers a restaurant. The property is non-smoking and is set a few steps from Passeig de Gracia.

The units come with air conditioning, a flat-screen TV with cable channels, a coffee machine, a bath or shower, free toiletries and a wardrobe. Rooms are complete with a private bathroom equipped with a hairdryer, while certain units at the hotel also have a terrace.

Popular points of interest near Sonder Paseo de Gracia include Passeig de Gracia Metro Station, Tivoli Theatre and Casa Batllo. Barcelona El Prat Airport is 13 km away."
ibis Styles Barcelona City Bogatell,699,8.4,https://www.booking.com/hotel/es/ibis-styles-barcelona-city-bogatell.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AoLV97wGwAIB0gIkOGQ2YTM3ODEtOWQyNi00ZjUyLWE4YjktMTk2ODQ1ZTlkODhk2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d349434421b60405&srepoch=1738402530&all_sr_blocks=189690301_94630149_2_34_0&highlighted_blocks=189690301_94630149_2_34_0&matching_block_id=189690301_94630149_2_34_0&sr_pri_blocks=189690301_94630149_2_34_0__69850&from_sustainable_property_sr=1&from=searchresults,"Located in Barcelona, 900 metres from Port Olympic, ibis Styles Barcelona City Bogatell features private parking and free WiFi access. The hotel has an outdoor pool and children's playground, and guests can enjoy a drink at the bar.

A TV is available.

You will find a 24-hour front desk at the property.

You can play table tennis at the hotel. The hotel also offers bike hire. Picasso Museum is 1.5 km from ibis Styles Barcelona City Bogatell, while La Seu, Cathedral of Barcelona is 1.8 km from the property. The nearest airport is Barcelona El Prat Airport, 15 km from ibis Styles Barcelona City Bogatell."
Four Points by Sheraton Barcelona Airport,496,8.7,https://www.booking.com/hotel/es/four-points-by-sheraton-barcelona-airport.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AoLV97wGwAIB0gIkOGQ2YTM3ODEtOWQyNi00ZjUyLWE4YjktMTk2ODQ1ZTlkODhk2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d349434421b60405&srepoch=1738402530&all_sr_blocks=1239003205_395912064_0_2_0&highlighted_blocks=1239003205_395912064_0_2_0&matching_block_id=1239003205_395912064_0_2_0&sr_pri_blocks=1239003205_395912064_0_2_0__49556&from=searchresults,"Situated in Barcelona, 16 km from Magic Fountain of Montjuic, Four Points by Sheraton Barcelona Airport features accommodation with a seasonal outdoor swimming pool, private parking, a fitness centre and a terrace. The property is around 16 km from Palau Sant Jordi, 16 km from Camp Nou and 18 km from Sants Railway Station. Guests can grab a bite to eat in the restaurant or a drink at the bar and free WiFi is available.

The hotel will provide guests with air-conditioned rooms offering a desk, a safety deposit box, a flat-screen TV and a private bathroom with a shower. The rooms have a wardrobe.

Guests at Four Points by Sheraton Barcelona Airport can enjoy a buffet breakfast.

Speaking Catalan, English, Spanish and French at the 24-hour front desk, staff are willing to help at any time of the day.

Montjuïc is 18 km from the accommodation, while Casa Batllo is 18 km from the property. Barcelona El Prat Airport is 5 km away."
"Holiday Inn Express Barcelona City 22@, an IHG Hotel",859,8.3,https://www.booking.com/hotel/es/express-by-holiday-inn-barcelona-city-22.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AoLV97wGwAIB0gIkOGQ2YTM3ODEtOWQyNi00ZjUyLWE4YjktMTk2ODQ1ZTlkODhk2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d349434421b60405&srepoch=1738402530&all_sr_blocks=1201401_95135191_2_1_0&highlighted_blocks=1201401_95135191_2_1_0&matching_block_id=1201401_95135191_2_1_0&sr_pri_blocks=1201401_95135191_2_1_0__85850&from=searchresults,"Friendly Barcelona Hotel with free WiFi, free Continental Buffet Breakfast and easy access to the beach and city sights.

Holiday Inn Express® Barcelona City 22@ hotel is located in the hip 22@Barcelona business zone, formerly an industrial district of Poblenou. Llacuna Metro Station is four minutes walk from the hotel. The B-10, also known as Ronda Litoral, Coastal Ring Road is minutes away by car and on-site parking is available. It’s a 25-minute drive to Barcelona El Prat Airport (BCN). Unwind on Mar Bella Beach, a short stroll from the hotel. On the nearby Rambla del Poblenou, restaurants offering catalan and international food are popular.

Barcelona attractions, like Sagrada Familia and Park Guell, are within easy reach by public transportation. Westfield Glories Mall is only 10 minutes walking from our door and Diagonal Mar Mall less than 10 minutes away by taxi.

Bright, colourful guest rooms offer free WiFi to keep you connected.
Enjoy our family rooms with double bed and sofa bed available for a max. of 2 adults and 2 children.
Get set for the day with an Express Start Breakfast buffet free to all our guests.
In the evening, simply step outside the door to experience Barcelona's lively night out."
Mihlton Barcelona Boutique B&B,778,8.7,https://www.booking.com/hotel/es/mihlton-barcelona.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AoLV97wGwAIB0gIkOGQ2YTM3ODEtOWQyNi00ZjUyLWE4YjktMTk2ODQ1ZTlkODhk2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d349434421b60405&srepoch=1738402530&all_sr_blocks=54286010_88501931_2_2_0&highlighted_blocks=54286010_88501931_2_2_0&matching_block_id=54286010_88501931_2_2_0&sr_pri_blocks=54286010_88501931_2_2_0__77750&from=searchresults,"Set in the centre of Barcelona, Mihlton Barcelona Boutique B&B is a recently renovated accommodation, which offers allergy-free rooms. Boasting a lift, this property also provides guests with a sun terrace. The accommodation features luggage storage space, a housekeeping service and organising tours for guests.

All units feature air conditioning and a satellite flat-screen TV. Units are equipped with a private bathroom, a safety deposit box and free WiFi, while certain rooms also offer a balcony and some have garden views. At the bed and breakfast, every unit comes with bed linen and towels.

Buffet and continental breakfast options with warm dishes, local specialities and champagne are available every morning. There is a coffee shop, and a minimarket is also available.

Guests at the bed and breakfast will be able to enjoy activities in and around Barcelona, like walking tours. The bed and breakfast has a picnic area where you can spend a day out in the open.

Popular points of interest near Mihlton Barcelona Boutique B&B include Passeig de Gracia, La Pedrera and Casa Batllo. Barcelona El Prat Airport is 13 km from the property."
Hostalin Barcelona Gran Via,708,7.9,https://www.booking.com/hotel/es/hostalin-barcelona-gran-via.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AoLV97wGwAIB0gIkOGQ2YTM3ODEtOWQyNi00ZjUyLWE4YjktMTk2ODQ1ZTlkODhk2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d349434421b60405&srepoch=1738402530&all_sr_blocks=50325403_88155208_0_0_0&highlighted_blocks=50325403_88155208_0_0_0&matching_block_id=50325403_88155208_0_0_0&sr_pri_blocks=50325403_88155208_0_0_0__70820&from=searchresults,"Centrally located, Hostalin Barcelona Gran Via boasts 24-hour reception, free luggage storage and soundproofed rooms with free Wi-Fi. Passeig de Gracia is 600 metres away and some rooms have a balcony.

Fitted with wooden flooring all the air-conditioned room features a flat-screen TV. Rooms comes with a private bathroom with shower, hairdryer and hair straightener. Bed linen and towels are also provided.

The property features a shared lounge area with sofas, computers with internet access, a TV and vending machines. A shared fridge is also available.

There is a plenty of bars, restaurants, shops and outlet open till late In the surrounding area. You can also find fresh produce at La Concepción Market, 500 metres away.

Set in the Eixample District, Hostalin Barcelona Gran Via is well served by public transports. There are 2 different metro stations, with different lines, 250 metres from the guest house. Barcelona North Bus Station connected to Girona Costa Brava Airport is 10 minutes’ walk away."
Moxy Barcelona,822,8.1,https://www.booking.com/hotel/es/expo-barcelona.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AoLV97wGwAIB0gIkOGQ2YTM3ODEtOWQyNi00ZjUyLWE4YjktMTk2ODQ1ZTlkODhk2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d349434421b60405&srepoch=1738402530&all_sr_blocks=9197175_88192220_0_42_0&highlighted_blocks=9197175_88192220_0_42_0&matching_block_id=9197175_88192220_0_42_0&sr_pri_blocks=9197175_88192220_0_42_0__82236&from=searchresults,"Moxy Barcelona features a seasonal outdoor swimming pool, fitness centre, a restaurant and bar in Barcelona. This 4-star hotel offers room service, a 24-hour front desk and free WiFi. The accommodation provides a business centre, a concierge service and currency exchange for guests.

The hotel will provide guests with air-conditioned rooms with a desk, a safety deposit box, a flat-screen TV, a balcony and a private bathroom with a shower.

The breakfast offers buffet, continental or gluten-free options.

Sants Railway Station is 500 metres from Moxy Barcelona, while Magic Fountain of Montjuic is 1.3 km away. Barcelona El Prat Airport is 11 km from the property."
Hotel SB Icaria,752,8.1,https://www.booking.com/hotel/es/sbicaria.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AoLV97wGwAIB0gIkOGQ2YTM3ODEtOWQyNi00ZjUyLWE4YjktMTk2ODQ1ZTlkODhk2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d349434421b60405&srepoch=1738402530&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__75237&from=searchresults,"Located 300 metres from Barcelona’s Nova Icaria Beach, Hotel SB Icaria offers a gym, sauna and outdoor pool with sun terrace and hot tub. Rooms include free Wi-Fi and flat-screen satellite TV.

The Hotel SB Icaria’s stylish modern rooms feature wooden floors and adjustable lighting. Each room has a minibar, safe and private bathroom with a hairdryer.

The hotel’s elegant restaurant serves Mediterranean market cuisine. There is also a bar and a garden terrace.

Hotel SB Icaria is located in the Olympic Port area, a 10-minute walk from Ciutadella Park and Barcelona Zoo. Ciutadella Metro Station is 800 metres away, and is just 2 stops from Barcelona Cathedral and the historic Gothic Quarter."
HOSTAL BEDMATES,627,8.3,https://www.booking.com/hotel/es/hostal-bedmates.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AoLV97wGwAIB0gIkOGQ2YTM3ODEtOWQyNi00ZjUyLWE4YjktMTk2ODQ1ZTlkODhk2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d349434421b60405&srepoch=1738402530&all_sr_blocks=793447504_339200854_0_2_0&highlighted_blocks=793447504_339200854_0_2_0&matching_block_id=793447504_339200854_0_2_0&sr_pri_blocks=793447504_339200854_0_2_0__62684&from=searchresults,"Attractively set in the Sants-Montjuïc district of Barcelona, HOSTAL BEDMATES is situated 2.9 km from Sant Miquel Beach, 2.9 km from Somorrostro Beach and 2.9 km from Barceloneta Beach. This 2-star hotel offers a concierge service and a tour desk. Free WiFi is available and private parking can be arranged at an extra charge.

Complete with a private bathroom fitted with a shower and free toiletries, the rooms at the hotel have a flat-screen TV and air conditioning, and certain rooms are equipped with a terrace. The units will provide guests with a desk and a kettle.

Guests at HOSTAL BEDMATES can enjoy a buffet or a continental breakfast.

Popular points of interest near the accommodation include Magic Fountain of Montjuic, Plaça Catalunya and Santa Maria del Mar. Barcelona El Prat Airport is 11 km from the property."
