Name,Price,Rating,Hotel Link,Description
Eurostars Universal Lisboa,899,8.7,https://www.booking.com/hotel/pt/eurostars-universal-lisboa.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXa97wGwAIB0gIkNzBjZmQ0YjgtYWFhNy00ZTI4LWI5NTEtYWI5YjYyOGViNTI52AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1a8144aee26e02b7&srepoch=1738403246&all_sr_blocks=767669301_334343650_2_34_0&highlighted_blocks=767669301_334343650_2_34_0&matching_block_id=767669301_334343650_2_34_0&sr_pri_blocks=767669301_334343650_2_34_0__89850&from_sustainable_property_sr=1&from=searchresults,"Set in Lisbon, 600 metres from Lisbon Oceanarium, Eurostars Universal Lisboa offers accommodation with a seasonal outdoor swimming pool, private parking, a fitness centre and a garden. With a restaurant, the 5-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The accommodation features room service, a business centre and luggage storage for guests.

At the hotel, rooms come with a desk. Every room includes a flat-screen TV, and certain units at Eurostars Universal Lisboa have a city view.

A buffet breakfast is available every morning at the accommodation.

Speaking English, Spanish, French and Portuguese at the 24-hour front desk, staff are ready to help around the clock.

Gare do Oriente is 700 metres from Eurostars Universal Lisboa, while Miradouro da Senhora do Monte is 7.9 km from the property. Humberto Delgado Airport is 3 km away, and the property offers a paid airport shuttle service."
MYRIAD by SANA Hotels,1470,9.2,https://www.booking.com/hotel/pt/myriad-by-sana-hotels.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXa97wGwAIB0gIkNzBjZmQ0YjgtYWFhNy00ZTI4LWI5NTEtYWI5YjYyOGViNTI52AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=1a8144aee26e02b7&srepoch=1738403246&all_sr_blocks=41446901_91474489_2_1_0&highlighted_blocks=41446901_91474489_2_1_0&matching_block_id=41446901_91474489_2_1_0&sr_pri_blocks=41446901_91474489_2_1_0__146975&nad_id=532f3575-11a2-4bba-acaf-b53030f30928_0&nad_cpc=0.78&nad_track=eyJhdWN0aW9uRXBvY2giOjE3Mzg0MDMxNjU0OTIsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiWS83dWp0QUZDWFEra2V0Z0owYXNSWVZGSnh1NkNjaVdqd1pWNTlGdFJObjFpQTdhV3V3NFQrbVJVS3Q4NjQzN2ljdWQ3ZVZKd0ZaUDB2TGJrRnZOMjNRci9zK1FDRWNyMjhRd0RVMXdMU3pKck9qY1YyRGNvelErSXFSeUF5VnM4cVc2TE5lOVYvSGJSV3dFUTI3YXhkMDBwUHd0bStKWnI1c1RVRmg0Zm1WNmFiZXVMNDc5ZnRWZXAwQk0vSWE3QkF6S0pTL3AxRlZWL3RyQ2dFSWVCemZxVlNsVUxYT053NjU4Wlg0Y1hNaXBienRRelBHTmYvWEFJeHJXMTdQRkR6eWdiL1VFVnV1Q0hteEtkZDJVckpFcFhTQUZIT2tFa1VNc01xREZoT080L3VPUHkvZFo4OHhGTUEvbkh6VmI4WkxGcW9oaGRIVjZNU1RWRmEwUFdVa2I0clEzdnVTUUNvck1xczZqK3VsdEZZUDBhZmpZTUV4SEhRamxXRlFqTTJZczFQS1d5cGlCTDhNTFdRcXpXNXRza2gveTd4TjVQdDMxV2czb1ZlV284d3Y2aklhRXc4SG5tbEx5OUJ5WEZRMTlCL0dCTU1MSURsTEthUXJkekVublhkcVF2SStTTjB3c0M2dzlFODFGNmFrNmU2Zk9QRDZsNExrdlpZdU9jVjVJZ3Z1N1MzMFBsN3E4NitGd1BQUXZIQkFDNndhWUhyTkFSQjhMcTFtOVB3SllJK1ZYVFZhek5TdUJodXV2emVJSG5oNXdta2tPQm5vaEdaMm9CZTBlM1ZobFhpTEd4TmxGOTNZMWhXSFdXT1VudVJjWUsyamNKWGkrY2V2K0hVdW96S1pyajdzVTlpcjVtNGU2TE5NcmFobnBnRUUvSEhHeGJ6YjhoVWxZZVBTWVVUb0RLZlFRb242Ymo3cHNFWEY3dVpLMnhiOFRmcmwxODFQSUZGTFpKdEhrSGhXbnZwNFVOT0ZUWCt1anpxb01zWGZSdHlSYVY5NWFjSWM3KzVUWlgvdVRScSt3a1VxMzYrd0FpY0l0QjNXQlM4N3FJeXhNRXJrbFZFZzY0bTFOajVFYXEySE8yOVlQaHRTcXhoekRxNC9NZ2g2d0xZNFR3WGUxNjhyZXErRjRDRHNSdWlqUjVmT2w5VzMrOGd6ajJkMHhmVlZ1S3Nkc1dxbDRTa0xsY1hPNmxTRWNaMHAwb3g4UStJUTFJWXRKOXpaM0tFa09CTzh3K2M0aTJWUXFDVVZtQnFscGptOEVuK3ZpMGJWYjJqQXdXM01nanUxODNzV0JNRXNTQjZ3UXAwNER3U1c2WkxyV2I3cEIwRkxwcGlPdkRCQUNTVDloQktqa3IzQVJzcXRvdjA2U2FHTXhOMzlZSEZGT1Q2YWtDMzFrZ3RpMGhtOS9sVm5SUC91UG1pd3lKRzB1dnZnNmljTWlVSkF5Y3J5eTFJcDhiaVVPTm0waVFHYlJSbVB2RXJqSDVmanpRZ2RpdTdLNUZHNHJ0VzZIaW1nOHl2UWV0REZKQzMzM0ViZzZlVWl6dGFTZWxQeVEvdVdCei9XQ0FnU0RrSFBmNGUwZm9uWWhiNy96ZERqNnpOSzNncXJaM0o4dU9rVmZqaWxhQzhRd2pIb0YweG5RUHo0VDdDZVJ0SG9GNjZRMWh5WkNXUVYrSzIwVzBDdEpUT1hjbHQwaFpXTi9UVGcyb3dZdG1mdjJkajlrSVJlRFp2TWgvRmw2ZzROT2xRbEUrZ1Q5bk1VZGw4bCtienlleklQaWVHTEoxSGdONlc2SmRZMzZyNHJJYWtNZUhVSEpPWDVLWnZOZ2F4V0k1bWpDTG1PQUo2aGpJYmpPUTJRRG02dTRGRVJLVHdiazFRZ0NDMlpGRE4yNUZVMDcwb3ZydVFjZGVKZzBkaUNLMkxxWkxjWXdTRU5CVW44dzM0SEZjV1E5aTVVSld5cGJQWFYxQlM3eTBQRmZlcjEyVHB2OXIxTENidlhPRjlNUVJFWWhVdmR2SytWU1M1ZTdFdnN1UVQ3cWVtWTRGaXczN3RHOUxBaFZzZTJTWVlTcGRNK2ZDWFFSQThEb2FQRERRM0crRFFRZWU1ZHFoMXFhV2RZaW9XbTY3YWRteEhyWVM1bmk2a1lOYkZpekJRaitmVXA3R2daZVBUdmpuTkkvNUQybjBLRHpMOEl4OHdqZzVIeEJNUVZvOXJHdmhWWW81SFJCcjZQMVZ1UExyczI3cEpYVHdSRk83aTE3RlpYWFZzTFJtOWkzbkpnb0htUWpuTEJXZ2dkVUt4VEhtamMrNWtZaFdjY1hDNTRxM2ZQbzVpSzIwYkhrekFmdEVoRk4yUU5aZm9JZFpuS0llSGhZL3BhTDE5Wlo0UTV5ZDI5aUZnZzEwQ3BrV0wwbW5NK2VVdk9oTVJUZWxQN1JrRVNmcmx1dTVZR3VBU0JCWnlrQkdYeFVsRDVSVTdQUEhIK3hOcXBKcnVYMUZnZU5YYjRZeWNQSXVWaTAwdVJNR2VaZTJyVmUxOWl1SzN6cEpkWTBIRVM5QTE4ZDE2eGpySktaTFhReCtxQXMwQkk5WkJFZ25ielFncDhmV0s4bU0yUnpoM1l2YVUzVncwS3EvK09ET0NxZHJBUjlzcGE4cXRKRXh1Yk1NUHNVbWVDazZNL3pkQk5GMHYyWUdVcUl5R0ZKNmNRSHRJY0lMUUhaTFIxOGVuVXRNWlQ3OEVRenQxaHQyRmpNUS9vQnR5b2lsVy9PVTNpM1ord0pFVC9qelYzS2J1aFZWdEdSUkFZclNEZU5tNlhRaDFkODlxVnpMdkhOVzQrakQwTFFXZDN2ako5Y3N5WVRjK2hoU2xmWHNrckNhQWJwd01raEowVkVhTWY5ZGRBTkw0V1lzem5vblVMVDhHSFR2SU4wOS83RVU1aE43S3J5SU1HZzIreUJxbXBDemsvd1pRRU5xWWdBZU04SHFxZXZoaEQrN2FpZlJJRmJZdXp4TDVsaS9DaW5Mczc5M0VrTnEzSHVIOStnSk93ZHUzNjFLZUx6MHkrc01ScnRia1RHTFptSzRlVEg3aUVhSkk1bnpIUlIwUGROUFp2Z3VtZlIvMDVRUDZOUU5hKzZrRlJsVzhFRDRYcEEyOWRNdlZUMEV5dXZON1hOVVpLaUVVbXVCZFRwaEYwQUZCR1d1cXZ1YjI5aGVURlVyRG1qTkNpeTZKelFPaFJ3MjhnU1ZMNVZnZkVMNzM0dFBKUTdmaE9NS1M3SHpueFYwYStsUHkzNjBmS1BCN3hVYlB6c0JqRUNOL0kxOGk2MkIxellzcHJhdzc3S2FLMXZUUU1tQW80RU5rdkF3N1M5UzFhNkNrMk1MMTUybTFZc0VYYlNpVVZUak56TFk3dU5KWVVsYzFWdzJQT2VlSzNBIn0%3D&from=searchresults,"Next to the Tagus River, by the tallest tower of Portugal - the emblematic Torre Vasco da Gama, the hotel MYRIAD by SANA with its imposing and majestic sail-shaped design. This luxury hotel, member of Preferred Hotels & Resorts, features contemporary design Rooms and Suites, all with unparalleled panoramic views over the river or Parque das Nações.

MYRIAD by SANA has an exceptional Michelin-starred restaurant at the top of the tower - FIFTY SECONDS, for incredible epicurean experiences; 1 lobby restaurant-bar with terrace – RIVER LOUNGE, with one of the most trendy, charming, and unique hotel terraces on the river, to enjoy throughout the day; on the 23rd upper floor 1 sublime SAYANNA WELLNESS & SPA facing the river with 4 treatment rooms, indoor pool and fitness center.

On the Hotel mezzanine the flexible 3 LEÓNIDAS meeting rooms with natural light for Events and Board Meetings, one of which is almost suspended over the river with a 180-degree view, and 1 unmissable Congress and Events Center - MYRIAD CRISTAL CENTER, with 2 floors and an outdoor deck area –connected by an aerial glass bridge to the Hotel.

MYRIAD by SANA has a privileged location, close to the entrance and exit routes, with excellent access points and transport facilities. Just 10 minutes from Lisbon International Airport by car, with train and metro stations close to the hotel. Guests can request a private VIP transfer service, upon request, prior to arrival or departure.

The Hotel surroundings combine several incredible spaces and a wide variety of shops, restaurants, and bars, all located along a stunning 5 km stretch of the Tagus riverfront."
Alfama Yellow House,680,7.2,https://www.booking.com/hotel/pt/alfama-yellow-house.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXa97wGwAIB0gIkNzBjZmQ0YjgtYWFhNy00ZTI4LWI5NTEtYWI5YjYyOGViNTI52AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=1a8144aee26e02b7&srepoch=1738403246&all_sr_blocks=91244205_386148074_0_0_0&highlighted_blocks=91244205_386148074_0_0_0&matching_block_id=91244205_386148074_0_0_0&sr_pri_blocks=91244205_386148074_0_0_0__68000&from=searchresults,"Featuring accommodation in apartments and studios, Alfama Yellow House is located in a historical Lisbon neighbourhood. With Lisbon views, the property is 650 metres from the Santa Apolónia Train and Metro Stations.

The units all come with a flat-screen cable TV and an iPod docking station. All have an equipped kitchenette and a dining area. A private bathroom and free WiFi access are provided.

Guests are welcome to cook their own meals in the self-catering apartment or studio. Alternatively, the surrounding Alfama area features various restaurants, eateries and Fado Houses, where guests may enjoy a Fado concert and Portuguese tapas.

The Santa Justa Lift has scenic views over the city and is 1.4 km away. The iconic São Jorge Castle is a mere 600 metres away. Bairro Alto and Chiado are both within a 10-minute drive. An airport shuttle service is available, at an extra fee. Lisbon International Airport is a 14-minute drive away from the Alfama Yellow House."
Lisbon Serviced Apartments - Liberdade,939,8.6,https://www.booking.com/hotel/pt/lisbon-serviced-apartments.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXa97wGwAIB0gIkNzBjZmQ0YjgtYWFhNy00ZTI4LWI5NTEtYWI5YjYyOGViNTI52AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=1a8144aee26e02b7&srepoch=1738403246&all_sr_blocks=129899001_123200815_0_0_0&highlighted_blocks=129899001_123200815_0_0_0&matching_block_id=129899001_123200815_0_0_0&sr_pri_blocks=129899001_123200815_0_0_0__93949&from=searchresults,"Lisbon Serviced Apartments - Avenida da Liberdade offers modern apartments located in Lisbon. They are serviced by a lift and daily maid service is included. The property is just 150 metres from Marques de Pombal Metro Station, and 400 metres from both Eduardo VII Park and Liberty Avenue.

The soundproofed apartments and studios will provide you free WiFi access, air conditioning and a TV with satellite channels. The private bathrooms have a shower, a toilet and come with free toiletries and a hairdryer. You can enjoy city views from the rooms.

The kitchenettes are fully equipped and come with a dishwasher. You can enjoy many restaurants and bars in the area. Grocery shopping can be done at a supermarket located 90 metres away.

If you feel like visiting the surroundings, check out Amoreiras Shopping Centre (1 km) and Bairro Alto (1.5 km).

Private parking is possible upon reservation and at an extra cost. Lisbon Portela Airport is located 6 km from the property."
Lisbon Finestay 8 Building Apartments,924,8.0,https://www.booking.com/hotel/pt/8-building-praca-dom-luis.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXa97wGwAIB0gIkNzBjZmQ0YjgtYWFhNy00ZTI4LWI5NTEtYWI5YjYyOGViNTI52AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=1a8144aee26e02b7&srepoch=1738403246&all_sr_blocks=204223204_94882300_2_2_0&highlighted_blocks=204223204_94882300_2_2_0&matching_block_id=204223204_94882300_2_2_0&sr_pri_blocks=204223204_94882300_2_2_0__92400&from=searchresults,"Lisbon Finestay 8 Building Apartments has air-conditioned guest accommodation in the centre of Lisbon, 1.1 km from Commerce Square, 1.3 km from Rossio and 1.9 km from St. George's Castle. Free WiFi is offered.

The accommodation comes with a flat-screen TV and a private bathroom with bidet, shower and free toiletries, while the kitchenette features a fridge, a dishwasher and an oven. A microwave, a stovetop and toaster are also featured, as well as a kettle.

A continental breakfast is available daily at the apartment.

Dona Maria II National Theatre is 1.4 km from Lisbon Finestay 8 Building Apartments, while Miradouro da Senhora do Monte is 3.7 km away. The nearest airport is Humberto Delgado, 10 km from the accommodation, and the property offers a paid airport shuttle service."
Garam Lisboa,978,9.1,https://www.booking.com/hotel/pt/garam-lisboa.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXa97wGwAIB0gIkNzBjZmQ0YjgtYWFhNy00ZTI4LWI5NTEtYWI5YjYyOGViNTI52AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=1a8144aee26e02b7&srepoch=1738403246&all_sr_blocks=254119404_103952369_0_1_0&highlighted_blocks=254119404_103952369_0_1_0&matching_block_id=254119404_103952369_0_1_0&sr_pri_blocks=254119404_103952369_0_1_0__97820&from=searchresults,"Ideally located in the Estrela district of Lisbon, Garam Lisboa is located 4.6 km from Rossio, 4.7 km from Dona Maria II National Theatre and 5.1 km from Commerce Square. It is set 4.1 km from Jeronimos Monastery and offers luggage storage space. Featuring a private entrance, the bed and breakfast allows guests to maintain their privacy.

With a private bathroom fitted with a shower and free toiletries, units at the bed and breakfast also have free WiFi. All units will provide guests with air conditioning, a safety deposit box and a flat-screen TV.

The bed and breakfast offers a buffet or continental breakfast.

Guests can relax in the garden at the property.

St. George's Castle is 5.6 km from Garam Lisboa, while Miradouro da Senhora do Monte is 5.8 km away. Humberto Delgado Airport is 11 km from the property, and the property offers a paid airport shuttle service."
Lisbon Art Stay Apartments Baixa,832,8.9,https://www.booking.com/hotel/pt/lisbon-short-stay-apartments-baixa.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXa97wGwAIB0gIkNzBjZmQ0YjgtYWFhNy00ZTI4LWI5NTEtYWI5YjYyOGViNTI52AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=1a8144aee26e02b7&srepoch=1738403246&all_sr_blocks=30546001_0_2_0_0&highlighted_blocks=30546001_0_2_0_0&matching_block_id=30546001_0_2_0_0&sr_pri_blocks=30546001_0_2_0_0__83232&from=searchresults,"Lisbon Art Stay Apartments Baixa offers accommodation within 1.5 km of the centre of Lisbon, with free WiFi, and a kitchenette with a dishwasher, an oven and a fridge. There is a private entrance at the apartment for the convenience of those who stay. The apartment has family rooms and facilities for disabled guests.

The apartment complex will provide guests with air-conditioned units offering a wardrobe, a coffee machine, a microwave, a toaster, a safety deposit box, a flat-screen TV and a private bathroom with a shower. The apartment complex features some units with city views, and units are fitted with a kettle. At the apartment complex, the units have bed linen and towels.

Guests at the apartment can enjoy a continental breakfast. There is a coffee shop and bar.

A car rental service is available at Lisbon Art Stay Apartments Baixa.

Popular points of interest near the accommodation include Commerce Square, St. George's Castle and Rossio. Humberto Delgado Airport is 8 km from the property."
Lisbon Serviced Apartments - Santos,1036,8.3,https://www.booking.com/hotel/pt/lisbon-serviced-apartments-santos.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXa97wGwAIB0gIkNzBjZmQ0YjgtYWFhNy00ZTI4LWI5NTEtYWI5YjYyOGViNTI52AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=1a8144aee26e02b7&srepoch=1738403246&all_sr_blocks=541746101_194018212_0_0_0&highlighted_blocks=541746101_194018212_0_0_0&matching_block_id=541746101_194018212_0_0_0&sr_pri_blocks=541746101_194018212_0_0_0__103550&from=searchresults,"In the Misericordia district of Lisbon, close to Commerce Square, Lisbon Serviced Apartments - Santos has free WiFi and a washing machine. It is set 1.6 km from Rossio and offers a lift. St. George's Castle is 3.1 km away and Dona Maria II National Theatre is 1.7 km from the apartment.

The apartment complex will provide guests with air-conditioned units offering a wardrobe, a kettle, a dishwasher, an oven, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At the apartment complex, the units have bed linen and towels.

If you prefer to cook in the comfort of your own place, you can make use of the kitchenette facilities, which include a microwave, a toaster and a fridge.

Miradouro da Senhora do Monte is 4.3 km from the apartment, while Jeronimos Monastery is 5.3 km from the property. The nearest airport is Humberto Delgado, 10 km from Lisbon Serviced Apartments - Santos, and the property offers a paid airport shuttle service."
Lisbon Five Stars Apartments Bica,1090,8.5,https://www.booking.com/hotel/pt/apartamentos-joana-champalimaud.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXa97wGwAIB0gIkNzBjZmQ0YjgtYWFhNy00ZTI4LWI5NTEtYWI5YjYyOGViNTI52AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=1a8144aee26e02b7&srepoch=1738403246&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__109040&from=searchresults,"Set in Lisbon’s historic area, Lisbon Five Stars Apartments Bica features elegant and tastefully renovated apartments. Chiado is within a 10-minute walk, as is the riverfront Cais do Sodré, with its lively bars and eateries.

The apartments all have ample areas, with plenty of natural light and a colourful décor. Each comes with a living area which includes a flat-screen TV, sofas and a dining area. There is also a full modern kitchen, as well as a private bathroom which has a hair dryer. Free WiFi is featured.

Guests are welcome to try their hand at preparing some traditional Portuguese cuisine in the kitchen, which all the necessary appliances. Alternatively, various restaurants and cafés are available nearby, many within a 5-minute walk. The trendy Ribeira Market is a 5-minute walk and is filled with assorted eateries and booths.

Stunning views over the city are possible from the Santa Catarina Belvedere, at just 350 metres. Bairro Alto, the city’s most renowned nightlife area, is a 10-minute walk away and also has many restaurants and shops. Rossio is 1.5 km away, while Commerce Square is at 1.4 km. Lisbon’s Portela International Airport is 11 km from Lisbon Five Stars Apartments Bica."
Lisbon Serviced Apartments - Baixa,1366,8.4,https://www.booking.com/hotel/pt/lisbon-serviced-apartments-baixa.html?label=gen173bo-1DCAEoggI46AdIMVgDaEaIAQGYATG4AQfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4AtXa97wGwAIB0gIkNzBjZmQ0YjgtYWFhNy00ZTI4LWI5NTEtYWI5YjYyOGViNTI52AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=1a8144aee26e02b7&srepoch=1738403246&all_sr_blocks=35584701_123200811_0_0_0&highlighted_blocks=35584701_123200811_0_0_0&matching_block_id=35584701_123200811_0_0_0&sr_pri_blocks=35584701_123200811_0_0_0__136572&from=searchresults,"Lisbon Serviced Apartments offers modern and air-conditioned apartments in the heart of Baixa Pombalina. It has an an elevator. Baixa-Chiado metro station is less than 2 minutes’ walk away.

Each of Baixa’s bright apartments comes with a spacious living room including large sofas and a flat-screen satellite TV. Each has a small, well-equipped kitchen with a stove and an oven. Soft neutral tones, wooden floors, and large windows are part of the bright décor.

Restaurants and shops surround Lisbon Serviced Apartments – Baixa. Praça da Figueira and Rossio are within a 5-minute walk away."
